"Timestamp","Укажите ваш пол","Укажите город, в котором находится ваше учебное заведение","Укажите название учебного заведения, в котором вы обучаетесь","Укажите номер вашего класса(последний класс, который вы закончили)","Время в которое у вас начинаются уроки/пары","Выберите ваш первый любимый предмет","Почему вам нравится этот предмет?","Ваш второй любимый предмет","Почему вам нравится этот предмет?","Сколько часов вы обычно тратите в день на домашнее задание?","Сколько времени вы тратите на самообучение(не связанного с домашним заданием)?","Как часто вы списываете домашнее задание?","Отметьте предметы(можно несколько), по которым вы наиболее часто списываете домашнее задание","Как вы оцениваете чистоту вашей школы (по десятибалльной шкале)?","Как вы оцениваете столовую в вашей школе (по десятибалльной шкале)?","Как вы оцениваете прилегающую территорию вашей школы, в том числе и стадион (по десятибалльной шкале)?","Как вы оцениваете спортивный зал и инвентарь в вашей школе(по десятибальной шкале)?","Насколько вы в целом удовлетворены своим учебным заведением?","Как вы оцениваете своё желание учиться в вашем учебном заведении на данный момент (по десятибалльной шкале)?","Сколько в среднем вы спите по будням?","Делаете ли вы утром зарядку?","Сколько времени у вас занимает дорога от дома до школы?","На сколько баллов(от 1 до 10) вы оцениваете своё рабочее состояние в течение дня?","Когда вы делаете домашнее задание?","Можете добавить какую-либо важную, по вашему мнению, информацию о вашем учебном заведении, которая не была упомянута в опросе.","Можете написать предложения по поводу данного опроса.",""
"2018/04/03 8:47:17 PM GMT+3","Женский","","","11","8:30","русская литература","Оба варианта","математика","Мне интересен сам предмет","больше 3 часов","Не занимаюсь вообще","Практически постоянно","метематика;информатика;история Беларуси","","","","","Слегка удовлетворен/на","Сильное","4:30","Нет","40","Отличное","Комбинированно","","","Лицей БГУ "
"2018/04/03 8:48:19 PM GMT+3","Женский","","","10","8:30","черчение","Оба варианта","физика","Оба варианта","1-3 часа","до 3 часов в неделю","Практически постоянно","химия;география","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","50","Терпимое","Комбинированно","","","Лицей БГУ"
"2018/04/03 8:49:18 PM GMT+3","Мужской","","","11","9:00","математика","Мне интересен сам предмет","иностранный язык","Мне интересен сам предмет","больше 3 часов","от 3 до 7 в неделю","Практически постоянно","физика;химия;русский язык;русская литература;астрономия","","","","","Сильно неудовлетворен/на","Нет желания","6:30","Нет","20","Терпимое","Комбинированно","","","Гимназия 11"
"2018/04/03 8:55:18 PM GMT+3","Женский","","","10","8:30","иностранный язык","Оба варианта","математика","Мне интересен сам предмет","1-3 часа","больше 7 часов в неделю","Время от времени","химия","","","","","Сильно неудовлетворен/на","Сильное","6:00","Нет","7","Отличное","Комбинированно","","","Лицей БГУ"
"2018/04/03 8:55:34 PM GMT+3","Женский","","","11","8:30","биология","Оба варианта","белорусская литература","Оба варианта","1-3 часа","больше 7 часов в неделю","Время от времени","физика;химия;география;информатика;обществоведение","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","45","Терпимое","Комбинированно","","","Лицей БГУ"
"2018/04/03 8:55:39 PM GMT+3","Женский","","","10","8:30","математика","Мне интересен сам предмет","белорусская литература","Его интересно преподают","1-3 часа","до 3 часов в неделю","Время от времени","физика;белорусская литература","","","","","Очень удовлетворен/на","Сильное","7:00","Нет","40","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:59:30 PM GMT+3","Женский","","","11","8:30","белорусская литература","Оба варианта","иностранный язык","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","метематика;информатика","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","55","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 9:00:18 PM GMT+3","Женский","","","11","8:30","всемирная история","Оба варианта","белорусская литература","Его интересно преподают","больше 3 часов","больше 7 часов в неделю","Время от времени","метематика;физика;химия;география;информатика;русский язык;белорусский язык;обществоведение;астрономия","","","","","Очень удовлетворен/на","Небольшое","6.00","Нет","40","Терпимое","Комбинированно","","","Лицей БГУ"
"2018/04/03 9:08:26 PM GMT+3","Женский","","","10","8:30","иностранный язык","Оба варианта","обществоведение","Мне интересен сам предмет","1-3 часа","Не занимаюсь вообще","Время от времени","физика;химия;русский язык","","","","","Очень удовлетворен/на","Сильное","7:00","Нет","37","Отличное","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 9:13:09 PM GMT+3","Женский","","","10","8:30","белорусская литература","Его интересно преподают","иностранный язык","Его интересно преподают","больше 3 часов","Не занимаюсь вообще","Время от времени","химия","","","","","Сильно неудовлетворен/на","Сильное","7:30","Да","35","Отличное","В течение дня(за день перед уроком)","","","Лицей БГУ"
